species	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	ole
Tripterygion tripteronotum	0	0	0	0	0	0	0	0	0	0	0
Tripterygion delaisi	0	0	0	0	0	0.5	0	0	0	0	0
Blenny spp.	0	0	0	0	0	0.5	2.5	0	0.5	0	0
Parablennius sanguinolentus	0	0	0.5	0	0	1	0	0	0	0	0
Coryphoblennius galerita	0	0	0	0	0	0	0	0	0	0	0
Parablennius incognitus	0	0	0	0	0	0	0	0	0	0	0
Symphodus spp.	0	0	0	0	4.5	4	0	0	2.5	2.5	0
Symphodus tinca	0	0	5	2.5	0.5	2.5	1.5	0	0	5	9
Symphodus roissalii	0.5	0.5	3	1.5	0.5	1	0	0	0	0.5	2
Symphodus ocellatus	1	0	0	0	0	0	0	0	0	0	1
Symphodus rostratus brown morph	0	0	0	0	0	0	0	0	0	0	0
Centrolabrus melanocercus	0	0	0	0	0	0	0	0	0	0	0
Thalassoma pavo	0.5	1	3.5	2	3.5	2.5	2	2	1.5	5.5	3
Coris julis	1	0.5	0	0	4.5	5	1.5	0.5	3.5	3.5	12
Diplodus spp.	0	0	0	0	0	0	0	0	0	0	0
Diplodus sargus	1	1	0	0.5	0	2	1	17.5	0	2	0
Diplodus vulgaris	1	0.5	0	0	0.5	0.5	0	1	0	0.5	0
Diplodus annularis	0	0	0	0.5	0.5	0	0	0	0	0	4
Diplodus puntazzo	0	0	0.5	0.5	0	0	0	0	0	0	0
Oblada melanura	0	0	2.5	2	3.5	2.5	2	0	2	1.5	4
Sarpa salpa	0	0	0	0	20	5.5	0.5	0.5	0	0.5	8
Boops boops	0	0	0	0	0	0	0	0	0	0	0
Spondylosoma cantharus	0	0	0	0	0	0	0	0	0	0	0
Sparus auratus	0	0	0	0	0	0	0	0	0	0	0
Mullus surmuletus	0	0	0	0	0	0	0	0	0	0	0
Apogon imberbis	0	0	0	0	0	0	0	0	0	0	0
chromis chromis	20	13	11.5	18.5	13	5	11.5	8.5	16	26.5	30
Atherina spp	0	0	0	0	0	0	0	0	0	0	0
Mugil spp	0	3.5	0.5	0	0	4	3	16.5	12	19.5	1
Oedachilus labeo	0	0	0	0	0	0	0	0	0	0	0
Sphyraena viridensis	0	0	0	0	0	0	0	0	0	0	0
Serranus scriba	0.5	0	0.5	0.5	1.5	1	0	0	0.5	3	2
